Pořadové číslo,Název obce,Počet obyvatel,ZUJ,IČO,Kategorie,Okres,ZUJ okres,Kraj,Základní působnost,Matriční úřad,ZUJ MÚ,Stavební úřad,ZUJ SÚ,POÚ,ZUJ POÚ,ORP,ZUJ ORP,VÚ,SM,ZP,MÚ,SÚ,PÚ,RP,OK,F2,F3,Vidimace,Czech POINT,SO MÚ,SO SÚ,SO POÚ,SO ORP,Počet obyvatel okresu,Počet obcí MÚ,Počet obcí SÚ,Počet obcí POÚ,Počet obcí ORP,Počet obcí okresu,NUTS 2,Poznámka 1
862,Dobřínsko,403,593931,00600296,obec,Znojmo,593711,Jihomoravský kraj,Dobřínsko,Moravský Krumlov,594482,Moravský Krumlov,594482,Moravský Krumlov,594482,Moravský Krumlov,594482,0,0,1,0,0,0,0,0,0,0,1,1,,,,,,,,,,,Jihovýchod,vyhláška
863,Dobříš,8755,540111,00242098,město,Příbram,539911,Středočeský kraj,Dobříš,Dobříš,540111,Dobříš,540111,Dobříš,540111,Dobříš,540111,0,0,1,1,1,1,1,0,0,0,1,1,14440,15611,21536,21536,,13,15,24,24,,Střední Čechy,matrika
864,Dobřív,1270,559776,00258679,obec,Rokycany,559717,Plzeňský kraj,Dobřív,Rokycany,559717,Rokycany,559717,Rokycany,559717,Rokycany,559717,0,0,1,0,0,0,0,0,0,0,1,1,,,,,,,,,,,Jihozápad,vyhláška
865,Dobšice,112,536199,00581241,obec,České Budějovice,544256,Jihočeský kraj,Dobšice,Týn nad Vltavou,545201,Týn nad Vltavou,545201,Týn nad Vltavou,545201,Týn nad Vltavou,545201,0,0,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,Jihozápad,vyhláška
866,Dobšice,213,537101,00239062,obec,Nymburk,537004,Středočeský kraj,Dobšice,Sány,537772,Městec Králové,537489,Městec Králové,537489,Poděbrady,537683,0,0,1,0,0,0,0,0,0,0,1,1,,,,,,,,,,,Střední Čechy,vyhláška
867,Dobšice,2521,546941,45670773,obec,Znojmo,593711,Jihomoravský kraj,Dobšice,Znojmo,593711,Znojmo,593711,Znojmo,593711,Znojmo,593711,0,0,1,0,0,0,0,0,0,0,1,1,,,,,,,,,,,Jihovýchod,vyhláška
868,Dobšín,227,571989,00509299,obec,Mladá Boleslav,535419,Středočeský kraj,Dobšín,Dolní Bousov,535702,Dolní Bousov,535702,Mladá Boleslav,535419,Mladá Boleslav,535419,0,0,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,Střední Čechy,vyhláška
869,Dohalice,460,569976,00268739,obec,Hradec Králové,569810,Královéhradecký kraj,Dohalice,Všestary,571091,Hradec Králové,569810,Hradec Králové,569810,Hradec Králové,569810,0,0,1,0,0,0,0,0,0,0,1,1,,,,,,,,,,,Severovýchod,vyhláška
870,Doksany,382,564753,00263524,obec,Litoměřice,564567,Ústecký kraj,Doksany,Roudnice nad Labem,565555,Roudnice nad Labem,565555,Roudnice nad Labem,565555,Roudnice nad Labem,565555,0,0,1,0,0,0,0,0,0,0,1,1,,,,,,,,,,,Severozápad,vyhláška
871,Doksy,5188,561495,00260444,město,Česká Lípa,561380,Liberecký kraj,Doksy,Doksy,561495,Doksy,561495,Doksy,561495,Česká Lípa,561380,0,0,1,1,1,1,0,0,0,0,1,1,6382,6382,8873,,,7,7,12,,,Severovýchod,matrika
872,Doksy,1467,532223,00234273,obec,Kladno,532053,Středočeský kraj,Doksy,Kamenné Žehrovice,532452,Kladno,532053,Kladno,532053,Kladno,532053,0,0,1,0,0,0,0,0,0,0,1,1,,,,,,,,,,,Střední Čechy,vyhláška
873,Dolánky nad Ohří,273,553646,46772731,obec,Litoměřice,564567,Ústecký kraj,Dolánky nad Ohří,Brozany nad Ohří,564621,Litoměřice,564567,Litoměřice,564567,Litoměřice,564567,0,0,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,Severozápad,vyhláška
874,Dolany,264,513130,00663981,obec,Kladno,532053,Středočeský kraj,Dolany,Kladno,532053,Kladno,532053,Kladno,532053,Kladno,532053,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,Střední Čechy,bez czech pointu
875,Dolany,839,539201,00241199,obec,Mělník,534676,Středočeský kraj,Dolany,Kralupy nad Vltavou,534951,Libčice nad Vltavou,539414,Kralupy nad Vltavou,534951,Kralupy nad Vltavou,534951,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,Střední Čechy,bez czech pointu
876,Dolany,858,556106,00255424,obec,Klatovy,555771,Plzeňský kraj,Dolany,Klatovy,555771,Klatovy,555771,Klatovy,555771,Klatovy,555771,0,0,1,0,0,0,0,0,0,0,1,1,,,,,,,,,,,Jihozápad,vyhláška
877,Dolany,280,558788,00257672,obec,Plzeň-sever,888002,Plzeňský kraj,Dolany,Třemošná,559521,Třemošná,559521,Třemošná,559521,Nýřany,559300,0,0,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,Jihozápad,vyhláška
878,Dolany,2593,501646,00298808,obec,Olomouc,500496,Olomoucký kraj,Dolany,Dolany,501646,Dolany,501646,Olomouc,500496,Olomouc,500496,0,0,1,1,1,0,0,0,0,0,1,1,5350,5350,,,,3,3,,,,Střední Morava,matrika
879,Dolany,660,574015,00272612,obec,Náchod,573868,Královéhradecký kraj,Dolany,Jaroměř,574121,Jaroměř,574121,Jaroměř,574121,Jaroměř,574121,0,0,1,0,0,0,0,0,0,0,1,1,,,,,,,,,,,Severovýchod,vyhláška
880,Dolany,396,574902,00273490,obec,Pardubice,555134,Pardubický kraj,Dolany,Lázně Bohdaneč,574767,Lázně Bohdaneč,574767,Lázně Bohdaneč,574767,Pardubice,555134,0,0,1,0,0,0,0,0,0,0,1,1,,,,,,,,,,,Severovýchod,vyhláška
881,Dolce,272,539945,00574163,obec,Plzeň-jih,888001,Plzeňský kraj,Dolce,Přeštice,558249,Přeštice,558249,Přeštice,558249,Přeštice,558249,0,0,1,0,0,0,0,0,0,0,1,1,,,,,,,,,,,Jihozápad,vyhláška
882,Dolenice,152,593958,00600300,obec,Znojmo,593711,Jihomoravský kraj,Dolenice,Miroslav,594458,Miroslav,594458,Miroslav,594458,Moravský Krumlov,594482,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,Jihovýchod,bez czech pointu
883,Dolní Bečva,1874,541800,00303747,obec,Vsetín,541630,Zlínský kraj,Dolní Bečva,Rožnov pod Radhoštěm,544841,Rožnov pod Radhoštěm,544841,Rožnov pod Radhoštěm,544841,Rožnov pod Radhoštěm,544841,0,0,1,0,0,0,0,0,0,0,1,1,,,,,,,,,,,Střední Morava,vyhláška
884,Dolní Bělá,414,558796,00257681,obec,Plzeň-sever,888002,Plzeňský kraj,Dolní Bělá,Dolní Bělá,558796,Plasy,559351,Plasy,559351,Kralovice,559075,0,0,1,1,0,0,0,0,0,0,1,1,1946,,,,,6,,,,,Jihozápad,matrika
885,Dolní Benešov,4167,506702,00299979,město,Opava,505927,Moravskoslezský kraj,Dolní Benešov,Dolní Benešov,506702,Dolní Benešov,506702,Hlučín,507016,Hlučín,507016,0,0,1,1,1,0,0,0,0,0,1,1,6417,6417,,,,3,3,,,,Moravskoslezsko,matrika
886,Dolní Beřkovice,1424,534765,00236799,obec,Mělník,534676,Středočeský kraj,Dolní Beřkovice,Mělník,534676,Mělník,534676,Mělník,534676,Mělník,534676,0,0,1,0,0,0,0,0,0,0,1,1,,,,,,,,,,,Střední Čechy,vyhláška
887,Dolní Bezděkov,186,505030,00483575,obec,Chrudim,571164,Pardubický kraj,Dolní Bezděkov,Chrudim,571164,Chrudim,571164,Chrudim,571164,Chrudim,571164,0,0,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,Severovýchod,vyhláška
888,Dolní Bojanovice,2979,586137,00284858,obec,Hodonín,586021,Jihomoravský kraj,Dolní Bojanovice,Dolní Bojanovice,586137,Hodonín,586021,Hodonín,586021,Hodonín,586021,0,0,1,1,0,0,0,0,0,0,1,1,2979,,,,,1,,,,,Jihovýchod,matrika
889,Dolní Bousov,2575,535702,00237680,město,Mladá Boleslav,535419,Středočeský kraj,Dolní Bousov,Dolní Bousov,535702,Dolní Bousov,535702,Mladá Boleslav,535419,Mladá Boleslav,535419,0,0,1,1,1,0,0,0,0,0,1,1,4176,4469,,,,10,11,,,,Střední Čechy,matrika
890,Dolní Branná,970,579122,00277738,obec,Trutnov,579025,Královéhradecký kraj,Dolní Branná,Vrchlabí,579858,Vrchlabí,579858,Vrchlabí,579858,Vrchlabí,579858,0,0,1,0,0,0,0,0,0,0,1,1,,,,,,,,,,,Severovýchod,vyhláška
891,Dolní Brusnice,360,554863,60153415,obec,Trutnov,579025,Královéhradecký kraj,Dolní Brusnice,Bílá Třemešná,579068,Dvůr Králové nad Labem,579203,Dvůr Králové nad Labem,579203,Dvůr Králové nad Labem,579203,0,0,1,0,0,0,0,0,0,0,1,1,,,,,,,,,,,Severovýchod,vyhláška
892,Dolní Břežany,3545,539210,00241202,obec,Praha-západ,999002,Středočeský kraj,Dolní Břežany,Dolní Břežany,539210,Dolní Břežany,539210,Jesenice,539325,Černošice,539139,0,0,1,1,1,0,0,0,0,0,1,1,4786,6061,,,,2,3,,,,Střední Čechy,matrika
893,Dolní Bukovsko,1706,544388,00244791,městys,České Budějovice,544256,Jihočeský kraj,Dolní Bukovsko,Dolní Bukovsko,544388,Týn nad Vltavou,545201,Týn nad Vltavou,545201,Týn nad Vltavou,545201,0,0,1,1,0,0,0,0,0,0,1,1,1882,,,,,2,,,,,Jihozápad,matrika
894,Dolní Cerekev,1292,587044,00285765,městys,Jihlava,586846,Kraj Vysočina,Dolní Cerekev,Dolní Cerekev,587044,Batelov,586862,Jihlava,586846,Jihlava,586846,0,0,1,1,0,0,0,0,0,0,1,1,1677,,,,,2,,,,,Jihovýchod,matrika
895,Dolní Čermná,1302,580112,00278734,městys,Ústí nad Orlicí,579891,Pardubický kraj,Dolní Čermná,Dolní Čermná,580112,Dolní Čermná,580112,Lanškroun,580511,Lanškroun,580511,0,0,1,1,1,0,0,0,0,0,1,1,2551,2551,,,,3,3,,,,Severovýchod,matrika
896,Dolní Dobrouč,2587,580121,00278742,obec,Ústí nad Orlicí,579891,Pardubický kraj,Dolní Dobrouč,Dolní Dobrouč,580121,Dolní Dobrouč,580121,Ústí nad Orlicí,579891,Ústí nad Orlicí,579891,0,0,1,1,1,0,0,0,0,0,1,1,3446,2587,,,,2,1,,,,Severovýchod,matrika
897,Dolní Domaslavice,1241,598101,00494241,obec,Frýdek-Místek,598003,Moravskoslezský kraj,Dolní Domaslavice,Dolní Domaslavice,598101,Frýdek-Místek,598003,Frýdek-Místek,598003,Frýdek-Místek,598003,0,0,1,1,0,0,0,0,0,0,1,1,2851,,,,,3,,,,,Moravskoslezsko,matrika
898,Dolní Dubňany,484,593966,00292699,obec,Znojmo,593711,Jihomoravský kraj,Dolní Dubňany,Moravský Krumlov,594482,Moravský Krumlov,594482,Moravský Krumlov,594482,Moravský Krumlov,594482,0,0,1,0,0,0,0,0,0,0,1,1,,,,,,,,,,,Jihovýchod,vyhláška
899,Dolní Dunajovice,1706,584428,00283126,obec,Břeclav,584291,Jihomoravský kraj,Dolní Dunajovice,Dolní Dunajovice,584428,Mikulov,584649,Mikulov,584649,Mikulov,584649,0,0,1,1,0,0,0,0,0,0,1,1,2964,,,,,3,,,,,Jihovýchod,matrika
900,Dolní Dvořiště,1271,545465,00245844,obec,Český Krumlov,545392,Jihočeský kraj,Dolní Dvořiště,Dolní Dvořiště,545465,Kaplice,545562,Kaplice,545562,Kaplice,545562,0,0,1,1,0,0,0,0,0,0,1,1,1271,,,,,1,,,,,Jihozápad,matrika
901,Dolní Dvůr,248,579149,00277754,obec,Trutnov,579025,Královéhradecký kraj,Dolní Dvůr,Vrchlabí,579858,Vrchlabí,579858,Vrchlabí,579858,Vrchlabí,579858,0,0,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,Severovýchod,vyhláška
902,Dolní Habartice,566,545856,00555924,obec,Děčín,562335,Ústecký kraj,Dolní Habartice,Benešov nad Ploučnicí,562351,Benešov nad Ploučnicí,562351,Benešov nad Ploučnicí,562351,Děčín,562335,0,0,1,0,0,0,0,0,0,0,1,1,,,,,,,,,,,Severozápad,vyhláška
903,Dolní Hbity,865,540129,00242101,obec,Příbram,539911,Středočeský kraj,Dolní Hbity,Dolní Hbity,540129,Kamýk nad Vltavou,540439,Příbram,539911,Příbram,539911,0,0,1,1,0,0,0,0,0,0,1,1,1251,,,,,2,,,,,Střední Čechy,matrika
904,Dolní Heřmanice,511,595501,00842443,obec,Žďár nad Sázavou,595209,Kraj Vysočina,Dolní Heřmanice,Velké Meziříčí,597007,Velké Meziříčí,597007,Velké Meziříčí,597007,Velké Meziříčí,597007,0,0,1,0,0,0,0,0,0,0,1,1,,,,,,,,,,,Jihovýchod,vyhláška
905,Dolní Hořice,823,552241,00252191,obec,Tábor,552046,Jihočeský kraj,Dolní Hořice,Chýnov,552496,Chýnov,552496,Tábor,552046,Tábor,552046,0,0,1,0,0,0,0,0,0,0,1,1,,,,,,,,,,,Jihozápad,vyhláška
906,Dolní Hradiště,43,558800,18246028,obec,Plzeň-sever,888002,Plzeňský kraj,Dolní Hradiště,Kralovice,559075,Kralovice,559075,Kralovice,559075,Kralovice,559075,0,0,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,Jihozápad,vyhláška
907,Dolní Hrachovice,138,560529,00582441,obec,Tábor,552046,Jihočeský kraj,Dolní Hrachovice,Ratibořské Hory,552992,Tábor,552046,Tábor,552046,Tábor,552046,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,Jihozápad,bez czech pointu
908,Dolní Chvatliny,452,533297,00235351,obec,Kolín,533165,Středočeský kraj,Dolní Chvatliny,Zásmuky,533921,Zásmuky,533921,Kolín,533165,Kolín,533165,0,0,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,Střední Čechy,vyhláška
909,Dolní Kalná,686,579157,00277762,obec,Trutnov,579025,Královéhradecký kraj,Dolní Kalná,Hostinné,579297,Vrchlabí,579858,Vrchlabí,579858,Vrchlabí,579858,0,0,1,0,0,0,0,0,0,0,1,1,,,,,,,,,,,Severovýchod,vyhláška
910,Dolní Kounice,2428,582956,00281701,město,Brno-venkov,777001,Jihomoravský kraj,Dolní Kounice,Dolní Kounice,582956,Dolní Kounice,582956,Ivančice,583120,Ivančice,583120,0,0,1,1,1,0,0,0,0,0,1,1,6149,7620,,,,8,11,,,,Jihovýchod,matrika
911,Dolní Kralovice,915,529648,00231711,obec,Benešov,529303,Středočeský kraj,Dolní Kralovice,Dolní Kralovice,529648,Dolní Kralovice,529648,Vlašim,530883,Vlašim,530883,0,0,1,1,1,0,0,0,0,0,1,1,2503,1318,,,,11,5,,,,Střední Čechy,matrika
912,Dolní Krupá,232,535711,00237698,obec,Mladá Boleslav,535419,Středočeský kraj,Dolní Krupá,Mnichovo Hradiště,536326,Mnichovo Hradiště,536326,Mnichovo Hradiště,536326,Mnichovo Hradiště,536326,0,0,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,Střední Čechy,vyhláška
913,Dolní Krupá,437,568597,00267368,obec,Havlíčkův Brod,568414,Kraj Vysočina,Dolní Krupá,Havlíčkův Brod,568414,Havlíčkův Brod,568414,Havlíčkův Brod,568414,Havlíčkův Brod,568414,0,0,1,0,0,0,0,0,0,0,1,1,,,,,,,,,,,Jihovýchod,vyhláška
914,Dolní Lánov,738,579165,00277771,obec,Trutnov,579025,Královéhradecký kraj,Dolní Lánov,Vrchlabí,579858,Vrchlabí,579858,Vrchlabí,579858,Vrchlabí,579858,0,0,1,0,0,0,0,0,0,0,1,1,,,,,,,,,,,Severovýchod,vyhláška
915,Dolní Lažany,155,587664,44065515,obec,Třebíč,590266,Kraj Vysočina,Dolní Lažany,Moravské Budějovice,591181,Moravské Budějovice,591181,Moravské Budějovice,591181,Moravské Budějovice,591181,0,0,1,0,0,0,0,0,0,0,1,1,,,,,,,,,,,Jihovýchod,vyhláška
916,Dolní Lhota,611,585173,00283878,obec,Zlín,585068,Zlínský kraj,Dolní Lhota,Luhačovice,585459,Luhačovice,585459,Luhačovice,585459,Luhačovice,585459,0,0,1,0,0,0,0,0,0,0,1,1,,,,,,,,,,,Střední Morava,vyhláška
917,Dolní Lhota,1429,506711,00535133,obec,Ostrava,554821,Moravskoslezský kraj,Dolní Lhota,Velká Polom,510882,Velká Polom,510882,Ostrava,554821,Ostrava,554821,0,0,1,0,0,0,0,0,0,0,1,1,,,,,,,,,,,Moravskoslezsko,vyhláška
918,Dolní Libochová,150,595519,00599379,obec,Žďár nad Sázavou,595209,Kraj Vysočina,Dolní Libochová,Křižanov,595926,Velké Meziříčí,597007,Velké Meziříčí,597007,Velké Meziříčí,597007,0,0,1,0,0,0,0,0,0,0,1,1,,,,,,,,,,,Jihovýchod,vyhláška
919,Dolní Lochov,50,549088,00578312,obec,Jičín,572659,Královéhradecký kraj,Dolní Lochov,Jičín,572659,Jičín,572659,Jičín,572659,Jičín,572659,0,0,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,Severovýchod,vyhláška
920,Dolní Lomná,876,511951,00535966,obec,Frýdek-Místek,598003,Moravskoslezský kraj,Dolní Lomná,Jablunkov,598259,Jablunkov,598259,Jablunkov,598259,Jablunkov,598259,0,0,1,0,0,0,0,0,0,0,1,1,,,,,,,,,,,Moravskoslezsko,vyhláška
921,Dolní Loučky,1208,595527,00294241,obec,Brno-venkov,777001,Jihomoravský kraj,Dolní Loučky,Dolní Loučky,595527,Tišnov,584002,Tišnov,584002,Tišnov,584002,0,0,1,1,0,0,0,0,0,0,1,1,3642,,,,,17,,,,,Jihovýchod,matrika
922,Dolní Lukavice,868,557684,00256561,obec,Plzeň-jih,888001,Plzeňský kraj,Dolní Lukavice,Přeštice,558249,Přeštice,558249,Přeštice,558249,Přeštice,558249,0,0,1,0,0,0,0,0,0,0,1,1,,,,,,,,,,,Jihozápad,vyhláška
923,Dolní Lutyně,5109,598968,00297461,obec,Karviná,598917,Moravskoslezský kraj,Dolní Lutyně,Dolní Lutyně,598968,Dolní Lutyně,598968,Bohumín,599051,Bohumín,599051,0,0,1,1,1,0,0,0,0,0,1,1,5109,5109,,,,1,1,,,,Moravskoslezsko,matrika
924,Dolní Město,902,568601,00267376,obec,Havlíčkův Brod,568414,Kraj Vysočina,Dolní Město,Světlá nad Sázavou,569569,Světlá nad Sázavou,569569,Světlá nad Sázavou,569569,Světlá nad Sázavou,569569,0,0,1,0,0,0,0,0,0,0,1,1,,,,,,,,,,,Jihovýchod,vyhláška
925,Dolní Morava,310,580163,00580911,obec,Ústí nad Orlicí,579891,Pardubický kraj,Dolní Morava,Králíky,580481,Králíky,580481,Králíky,580481,Králíky,580481,0,0,1,0,0,0,0,0,0,0,1,1,,,,,,,,,,,Severovýchod,vyhláška
926,Dolní Moravice,403,597287,00295957,obec,Bruntál,597180,Moravskoslezský kraj,Dolní Moravice,Rýmařov,597783,Rýmařov,597783,Rýmařov,597783,Rýmařov,597783,0,0,1,0,0,0,0,0,0,0,1,1,,,,,,,,,,,Moravskoslezsko,vyhláška
927,Dolní Němčí,3018,592145,00290904,obec,Uherské Hradiště,592005,Zlínský kraj,Dolní Němčí,Dolní Němčí,592145,Hluk,592170,Uherský Brod,592731,Uherský Brod,592731,0,0,1,1,0,0,0,0,0,0,1,1,3018,,,,,1,,,,,Střední Morava,matrika
928,Dolní Nětčice,271,569259,00636207,obec,Přerov,511382,Olomoucký kraj,Dolní Nětčice,Soběchleby,517844,Lipník nad Bečvou,514705,Lipník nad Bečvou,514705,Lipník nad Bečvou,514705,0,0,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,Střední Morava,vyhláška
929,Dolní Nivy,316,560341,00259306,obec,Sokolov,560286,Karlovarský kraj,Dolní Nivy,Lomnice,560545,Sokolov,560286,Sokolov,560286,Sokolov,560286,0,0,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,Severozápad,vyhláška
930,Dolní Novosedly,206,562301,00512036,obec,Písek,549240,Jihočeský kraj,Dolní Novosedly,Záhoří,550027,Písek,549240,Písek,549240,Písek,549240,0,0,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,Jihozápad,vyhláška
931,Dolní Olešnice,379,579173,00580171,obec,Trutnov,579025,Královéhradecký kraj,Dolní Olešnice,Trutnov,579025,Hostinné,579297,Trutnov,579025,Trutnov,579025,0,0,1,0,0,0,0,0,0,0,1,1,,,,,,,,,,,Severovýchod,vyhláška
932,Dolní Pěna,306,562467,00512940,obec,Jindřichův Hradec,545881,Jihočeský kraj,Dolní Pěna,Jindřichův Hradec,545881,Jindřichův Hradec,545881,Jindřichův Hradec,545881,Jindřichův Hradec,545881,0,0,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,Jihozápad,vyhláška
933,Dolní Podluží,1180,562432,00261271,obec,Děčín,562335,Ústecký kraj,Dolní Podluží,Varnsdorf,562882,Varnsdorf,562882,Varnsdorf,562882,Varnsdorf,562882,0,0,1,0,0,0,0,0,0,0,1,1,,,,,,,,,,,Severozápad,vyhláška
934,Dolní Pohleď,93,531260,00640328,obec,Kutná Hora,533955,Středočeský kraj,Dolní Pohleď,Zruč nad Sázavou,534633,Zruč nad Sázavou,534633,Zruč nad Sázavou,534633,Kutná Hora,533955,0,0,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,Střední Čechy,vyhláška
935,Dolní Poustevna,1853,562441,00261289,město,Děčín,562335,Ústecký kraj,Dolní Poustevna,Velký Šenov,562912,Šluknov,562858,Šluknov,562858,Rumburk,562777,0,0,1,0,0,0,0,0,0,0,1,1,,,,,,,,,,,Severozápad,vyhláška
936,Dolní Přím,653,569984,00268747,obec,Hradec Králové,569810,Královéhradecký kraj,Dolní Přím,Nechanice,570451,Nechanice,570451,Nechanice,570451,Hradec Králové,569810,0,0,1,0,0,0,0,0,0,0,1,1,,,,,,,,,,,Severovýchod,vyhláška
937,Dolní Radechová,789,574023,00272621,obec,Náchod,573868,Královéhradecký kraj,Dolní Radechová,Náchod,573868,Náchod,573868,Náchod,573868,Náchod,573868,0,0,1,0,0,0,0,0,0,0,1,1,,,,,,,,,,,Severovýchod,vyhláška
938,Dolní Roveň,1999,574911,00273503,obec,Pardubice,555134,Pardubický kraj,Dolní Roveň,Holice,574988,Holice,574988,Holice,574988,Holice,574988,0,0,1,0,0,0,0,0,0,0,1,1,,,,,,,,,,,Severovýchod,vyhláška
939,Dolní Rožínka,641,595535,00294233,obec,Žďár nad Sázavou,595209,Kraj Vysočina,Dolní Rožínka,Dolní Rožínka,595535,Bystřice nad Pernštejnem,595411,Bystřice nad Pernštejnem,595411,Bystřice nad Pernštejnem,595411,0,0,1,1,0,0,0,0,0,0,1,1,2108,,,,,9,,,,,Jihovýchod,matrika
940,Dolní Rychnov,1426,538591,00573132,obec,Sokolov,560286,Karlovarský kraj,Dolní Rychnov,Sokolov,560286,Sokolov,560286,Sokolov,560286,Sokolov,560286,0,0,1,0,0,0,0,0,0,0,1,1,,,,,,,,,,,Severozápad,vyhláška
941,Dolní Řasnice,535,563994,00262757,obec,Liberec,563889,Liberecký kraj,Dolní Řasnice,Frýdlant,564028,Frýdlant,564028,Frýdlant,564028,Frýdlant,564028,0,0,1,0,0,0,0,0,0,0,1,1,,,,,,,,,,,Severovýchod,vyhláška
942,Dolní Ředice,836,574929,00273511,obec,Pardubice,555134,Pardubický kraj,Dolní Ředice,Holice,574988,Holice,574988,Holice,574988,Holice,574988,0,0,1,0,0,0,0,0,0,0,1,1,,,,,,,,,,,Severovýchod,vyhláška
943,Dolní Slivno,304,535729,00237701,obec,Mladá Boleslav,535419,Středočeský kraj,Dolní Slivno,Benátky nad Jizerou,535451,Benátky nad Jizerou,535451,Benátky nad Jizerou,535451,Mladá Boleslav,535419,0,0,1,0,0,0,0,0,0,0,1,1,,,,,,,,,,,Střední Čechy,vyhláška
944,Dolní Sokolovec,93,548448,00579823,obec,Havlíčkův Brod,568414,Kraj Vysočina,Dolní Sokolovec,Chotěboř,568759,Chotěboř,568759,Chotěboř,568759,Chotěboř,568759,0,0,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,Jihovýchod,vyhláška
945,Dolní Stakory,258,570940,00509337,obec,Mladá Boleslav,535419,Středočeský kraj,Dolní Stakory,Mladá Boleslav,535419,Mladá Boleslav,535419,Mladá Boleslav,535419,Mladá Boleslav,535419,0,0,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,Střední Čechy,vyhláška
946,Dolní Studénky,1294,553379,00635936,obec,Šumperk,523704,Olomoucký kraj,Dolní Studénky,Šumperk,523704,Šumperk,523704,Šumperk,523704,Šumperk,523704,0,0,1,0,0,0,0,0,0,0,1,1,,,,,,,,,,,Střední Morava,vyhláška
947,Dolní Těšice,66,552984,00636215,obec,Přerov,511382,Olomoucký kraj,Dolní Těšice,Hranice,513750,Hranice,513750,Hranice,513750,Hranice,513750,0,0,1,0,0,0,0,0,0,0,1,1,,,,,,,,,,,Střední Morava,vyhláška
948,Dolní Tošanovice,319,552607,00576875,obec,Frýdek-Místek,598003,Moravskoslezský kraj,Dolní Tošanovice,Dobrá,598089,Hnojník,598160,Frýdek-Místek,598003,Frýdek-Místek,598003,0,0,1,0,0,0,0,0,0,0,1,1,,,,,,,,,,,Moravskoslezsko,vyhláška
949,Dolní Třebonín,1293,545473,00245852,obec,Český Krumlov,545392,Jihočeský kraj,Dolní Třebonín,Český Krumlov,545392,Český Krumlov,545392,Český Krumlov,545392,Český Krumlov,545392,0,0,1,0,0,0,0,0,0,0,1,1,,,,,,,,,,,Jihozápad,vyhláška
950,Dolní Újezd,1213,513199,00636223,obec,Přerov,511382,Olomoucký kraj,Dolní Újezd,Lipník nad Bečvou,514705,Lipník nad Bečvou,514705,Lipník nad Bečvou,514705,Lipník nad Bečvou,514705,0,0,1,0,0,0,0,0,0,0,1,1,,,,,,,,,,,Střední Morava,vyhláška
951,Dolní Újezd,2018,577995,00276596,obec,Svitavy,577731,Pardubický kraj,Dolní Újezd,Dolní Újezd,577995,Litomyšl,578347,Litomyšl,578347,Litomyšl,578347,0,0,1,1,0,0,0,0,0,0,1,1,4323,,,,,9,,,,,Severovýchod,matrika
952,Dolní Věstonice,329,584436,00283134,obec,Břeclav,584291,Jihomoravský kraj,Dolní Věstonice,Dolní Věstonice,584436,Mikulov,584649,Mikulov,584649,Mikulov,584649,0,0,1,1,0,0,0,0,0,0,1,1,1340,,,,,3,,,,,Jihovýchod,matrika
953,Dolní Vilémovice,381,590550,00289302,obec,Třebíč,590266,Kraj Vysočina,Dolní Vilémovice,Třebíč,590266,Třebíč,590266,Třebíč,590266,Třebíč,590266,0,0,1,0,0,0,0,0,0,0,1,1,,,,,,,,,,,Jihovýchod,vyhláška
954,Dolní Vilímeč,93,587061,00373656,obec,Jihlava,586846,Kraj Vysočina,Dolní Vilímeč,Nová Říše,587591,Nová Říše,587591,Telč,588024,Telč,588024,0,0,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,Jihovýchod,vyhláška
955,Dolní Zálezly,566,567931,00266710,obec,Ústí nad Labem,554804,Ústecký kraj,Dolní Zálezly,Ústí nad Labem,554804,Ústí nad Labem,554804,Ústí nad Labem,554804,Ústí nad Labem,554804,0,0,1,0,0,0,0,0,0,0,1,1,,,,,,,,,,,Severozápad,vyhláška
956,Dolní Zimoř,74,531987,00662305,obec,Mělník,534676,Středočeský kraj,Dolní Zimoř,Liběchov,535001,Mělník,534676,Mělník,534676,Mělník,534676,0,0,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,Střední Čechy,vyhláška
